work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
2022,MI,FT,Data Scientist,84000,USD,BR,100,BR,M,84000
2022,SE,FT,ML Engineer,84000,USD,US,100,US,M,84000
2022,MI,FT,Research Scientist,80000,EUR,DE,0,DE,S,84229
2022,MI,FT,Data Engineer,80000,EUR,GR,100,GR,M,84229
2022,MI,FT,Data Engineer,80000,EUR,ES,100,ES,M,84229
2022,EN,FT,Data Scientist,80000,EUR,BE,100,BE,L,84229
2022,EX,FT,Research Scientist,80000,EUR,NL,0,NL,L,84229
2022,MI,FT,Machine Learning Engineer,80000,EUR,FR,100,DE,M,84229
2022,MI,FT,Data Engineer,80000,EUR,ES,100,ES,M,84229
2022,MI,FT,Data Engineer,80000,EUR,GR,100,GR,M,84229
2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,DE,0,DE,M,84229
2022,MI,FT,Machine Learning Engineer,121000,AUD,AU,100,AU,L,84491
2022,SE,FT,Data Analyst,84900,USD,US,100,US,M,84900
2022,MI,FT,Data Scientist,85000,USD,US,100,US,M,85000
2022,MI,FT,Data Analyst,85000,USD,US,0,US,M,85000
2022,MI,FT,Analytics Engineer,85000,USD,US,100,US,M,85000
2022,SE,FT,Data Engineer,85000,USD,US,100,US,M,85000
2022,SE,FT,Data Engineer,85000,USD,US,100,US,M,85000
2022,SE,FT,Data Engineer,85000,USD,US,100,US,M,85000
2022,SE,FT,Data Engineer,85000,USD,US,100,US,M,85000
2022,SE,FT,Machine Learning Engineer,85000,USD,US,100,US,M,85000
2022,MI,FT,Data Analyst,85000,USD,CA,0,CA,M,85000
2021,EX,FT,Head of Data Science,85000,USD,RU,0,RU,M,85000
2021,EN,FT,Machine Learning Engineer,85000,USD,NL,100,DE,S,85000
2020,MI,FT,Data Analyst,85000,USD,US,100,US,L,85000
2022,SE,FT,Data Analyst,85700,USD,US,0,US,M,85700
2022,EN,FT,Data Engineer,86000,USD,US,100,US,L,86000
2022,MI,FT,Data Engineer,70000,GBP,GB,100,GB,M,86698
2022,SE,FT,Data Analyst,70000,GBP,GB,0,GB,M,86698
2022,MI,FT,Data Engineer,70000,GBP,GB,100,GB,M,86698
2022,MI,FT,Data Scientist,70000,GBP,GB,0,GB,M,86698
2020,MI,FT,Lead Data Analyst,87000,USD,US,100,US,L,87000
2021,SE,FT,Data Scientist,110000,CAD,CA,100,CA,S,87738
2022,SE,FT,Data Scientist,88100,USD,US,0,US,M,88100
2022,SE,FT,Data Scientist,88100,USD,US,0,US,M,88100
2021,SE,FT,Marketing Data Analyst,75000,EUR,GR,100,DK,L,88654
2021,MI,FT,Machine Learning Engineer,75000,EUR,BE,100,BE,M,88654
2021,MI,FT,Data Scientist,75000,EUR,DE,50,DE,L,88654
2022,SE,FT,Data Analyst,89200,USD,US,100,US,M,89200
2021,MI,FT,Cloud Data Engineer,120000,SGD,SG,50,SG,L,89294
2022,MI,FT,Data Scientist,85000,EUR,NL,0,NL,M,89494
2022,SE,FT,Research Scientist,85000,EUR,FR,50,FR,L,89494
2022,MI,FT,Machine Learning Engineer,90000,USD,US,0,US,M,90000
2022,SE,FT,Data Engineer,90000,USD,US,100,US,M,90000
2022,SE,CT,Data Analyst,90000,USD,US,100,US,M,90000
2022,SE,FT,Data Engineer,90000,USD,US,0,US,M,90000
2022,MI,FT,Data Scientist,90000,USD,US,0,US,M,90000
2021,MI,FT,Data Analyst,90000,USD,US,100,US,M,90000
2021,MI,FT,Data Engineer,90000,USD,US,100,US,L,90000
2021,EN,FT,Data Analyst,90000,USD,US,100,US,S,90000
2021,EN,FT,Data Scientist,90000,USD,US,100,US,S,90000
2021,EN,FT,Data Science Consultant,90000,USD,US,100,US,S,90000
2022,SE,FT,Data Analyst,90320,USD,US,0,US,M,90320
2022,SE,FT,Data Analyst,90320,USD,US,100,US,M,90320
2022,SE,FT,Data Analyst,90320,USD,US,100,US,M,90320
2022,SE,FT,Data Analyst,90320,USD,US,100,US,M,90320
2022,SE,FT,Data Analyst,90320,USD,US,100,US,M,90320
2022,SE,FT,Data Analyst,90320,USD,US,100,US,M,90320
2022,SE,FT,Data Architect,90700,USD,CA,100,CA,M,90700
2021,MI,FT,Data Scientist,76760,EUR,DE,50,DE,L,90734
2021,MI,FT,Data Scientist,76760,EUR,DE,50,DE,L,90734
2020,EN,FT,Data Analyst,91000,USD,US,100,US,L,91000
2020,SE,FT,Data Scientist,80000,EUR,AT,0,AT,S,91237
2022,MI,FT,Data Engineer,74000,GBP,GB,0,GB,M,91652
2022,SE,FT,Data Scientist,92000,USD,US,100,US,L,92000
2022,SE,FT,Data Scientist,92000,USD,US,100,US,L,92000
2022,SE,FT,Data Operations Analyst,92250,USD,US,0,US,M,92250
2022,SE,FT,Analytics Engineer,75000,GBP,GB,0,GB,M,92891
2022,MI,FT,Data Engineer,75000,GBP,GB,0,GB,M,92891
2022,MI,FT,Data Engineer,75000,GBP,GB,100,GB,M,92891
2022,MI,FT,Machine Learning Engineer,75000,GBP,GB,0,GB,M,92891
2022,MI,FT,Data Engineer,75000,GBP,GB,0,GB,M,92891
2022,MI,FT,Data Engineer,75000,GBP,GB,100,GB,M,92891
2022,EN,FT,Data Scientist,93000,USD,US,0,US,M,93000
2021,MI,FT,Data Analyst,93000,USD,US,100,US,L,93000
2021,MI,FT,Data Engineer,93150,USD,US,0,US,M,93150
2022,SE,FT,Data Analyst,93700,USD,US,100,US,M,93700
2022,SE,FT,Data Analyst,93700,USD,US,100,US,M,93700
2022,SE,FT,Data Engineer,93700,USD,US,100,US,M,93700
2021,SE,FT,Machine Learning Engineer,80000,EUR,DE,50,DE,L,94564
2021,SE,FT,Data Science Manager,7000000,INR,IN,50,IN,L,94665
2022,SE,FT,Data Analyst,95000,USD,US,0,US,M,95000
2022,SE,FT,Data Analyst,95000,USD,US,0,US,M,95000
2022,SE,FT,Data Analyst,95000,USD,US,100,US,M,95000
2022,SE,FT,Data Specialist,95000,USD,US,100,US,M,95000
2022,SE,FT,Data Scientist,95550,USD,US,0,US,M,95550
2021,MI,FT,Computer Vision Software Engineer,81000,EUR,DE,100,US,S,95746
2021,SE,FT,Research Scientist,120500,CAD,CA,50,CA,L,96113
2022,SE,FT,Lead Machine Learning Engineer,7500000,INR,IN,50,IN,L,96209
2021,SE,FT,Data Engineer,70000,GBP,GB,50,GB,L,96282
2022,SE,FT,Data Engineer,97000,USD,US,100,US,M,97000
2022,MI,FT,Data Analyst,97500,USD,US,100,US,L,97500
2022,MI,FT,Data Manager,98000,USD,US,0,US,M,98000
2022,MI,FT,Data Manager,98000,USD,US,0,US,M,98000
2020,MI,FT,BI Data Analyst,98000,USD,US,0,US,M,98000
2022,MI,FT,ML Engineer,98200,USD,US,100,US,L,98200
2022,SE,FT,Data Engineer,99000,USD,US,0,US,M,99000
2022,SE,FT,Data Analyst,99000,USD,US,0,US,M,99000
2022,SE,FT,Data Analyst,99000,USD,US,0,US,M,99000
2022,SE,FT,Data Analyst,99000,USD,US,0,US,M,99000
2022,SE,FT,Data Analyst,99050,USD,US,100,US,M,99050
2022,MI,FT,Data Engineer,80000,GBP,GB,100,GB,M,99084
2022,MI,FT,Data Engineer,80000,GBP,GB,0,GB,M,99084
2022,MI,FT,Data Engineer,80000,GBP,GB,100,GB,M,99084
2022,SE,FT,Data Scientist,80000,GBP,GB,0,GB,M,99084
2022,SE,FT,Data Engineer,99100,USD,US,0,US,M,99100
2022,MI,FT,Data Engineer,99100,USD,US,0,US,M,99100
2022,SE,FT,Data Scientist,99360,USD,US,100,US,M,99360
2022,SE,FT,Data Analyst,99450,USD,US,100,US,M,99450
2022,SE,FT,Data Analyst,99450,USD,US,100,US,M,99450
2021,SE,FT,Big Data Architect,125000,CAD,CA,50,CA,M,99703
2022,SE,FT,Data Analyst,99750,USD,US,100,US,M,99750
2022,MI,FT,Data Scientist,100000,USD,US,100,US,M,100000
2022,SE,FT,Data Engineer,100000,USD,US,0,US,M,100000
2022,MI,FT,Data Analyst,100000,USD,US,100,US,M,100000
2022,SE,FT,Data Analyst,100000,USD,US,0,US,M,100000
2022,SE,FT,Data Analyst,100000,USD,US,100,US,M,100000
2022,MI,FT,ML Engineer,100000,USD,US,100,US,M,100000
2022,EN,FT,Data Scientist,100000,USD,US,100,US,M,100000
2022,MI,FT,Data Operations Engineer,100000,USD,US,100,US,M,100000
2022,MI,FT,Data Operations Engineer,100000,USD,US,100,US,M,100000
2022,MI,FT,Data Engineer,100000,USD,US,0,US,M,100000
2022,SE,FT,Analytics Engineer,100000,USD,US,100,US,M,100000
2022,MI,FT,Data Operations Engineer,100000,USD,US,100,US,M,100000
2022,SE,FT,Data Engineer,100000,USD,US,100,US,M,100000
2022,SE,FT,Data Engineer,100000,USD,US,0,US,L,100000
2022,SE,FT,Data Scientist,100000,USD,US,0,US,L,100000
2022,SE,FT,Machine Learning Engineer,100000,USD,US,100,US,M,100000
2022,SE,FT,Business Data Analyst,100000,USD,US,100,US,L,100000
2022,SE,FT,Data Engineer,100000,USD,US,100,US,M,100000
2022,SE,FT,Data Analyst,100000,USD,US,100,US,M,100000
2022,SE,FT,Data Engineer,100000,USD,US,100,US,M,100000
2022,SE,FT,Data Analyst,100000,USD,US,100,US,M,100000
2022,SE,FT,Data Engineer,100000,USD,US,100,US,M,100000
2022,SE,FT,Data Scientist,100000,USD,BR,100,US,M,100000
2022,MI,FL,Data Scientist,100000,USD,CA,100,US,M,100000
2021,EN,FT,Data Scientist,100000,USD,US,0,US,S,100000
2022,EN,PT,Data Scientist,100000,USD,DZ,50,DZ,M,100000
2022,EN,FT,Financial Data Analyst,100000,USD,US,50,US,L,100000
2021,EN,FT,Machine Learning Developer,100000,USD,IQ,50,IQ,S,100000
2021,MI,FT,Data Engineer,100000,USD,US,100,US,L,100000
2021,MI,FT,BI Data Analyst,100000,USD,US,100,US,M,100000
2021,EN,FT,Research Scientist,100000,USD,JE,0,CN,L,100000
2021,EN,FT,Data Scientist,100000,USD,US,100,US,M,100000
2020,EN,CT,Business Data Analyst,100000,USD,US,100,US,L,100000
2022,SE,FT,Data Engineer,100800,USD,US,100,US,L,100800
2022,SE,FT,Data Scientist,101570,USD,US,100,US,M,101570
2022,SE,FT,Data Engineer,101570,USD,US,100,US,M,101570
2022,SE,FT,Data Engineer,102100,USD,US,0,US,M,102100
2022,SE,FT,Data Engineer,102100,USD,US,0,US,M,102100
2022,SE,FT,Data Architect,102100,USD,US,0,US,M,102100
2022,SE,FT,Data Analyst,102100,USD,US,100,US,M,102100
2022,MI,FT,Data Scientist,102100,USD,US,0,US,M,102100
2022,MI,FT,Data Scientist,83000,GBP,GB,100,GB,M,102799
2021,SE,FT,Head of Data,87000,EUR,SI,100,SI,L,102839
2020,MI,FT,Data Science Consultant,103000,USD,US,100,US,L,103000
2021,SE,FT,Lead Data Engineer,75000,GBP,GB,100,GB,S,103160
2022,SE,FT,Analytics Engineer,83376,GBP,GB,100,GB,M,103265
2021,SE,FT,Data Scientist,130000,CAD,CA,100,CA,L,103691
2022,SE,FT,Data Scientist,104000,USD,US,100,US,M,104000
2022,SE,FT,Analytics Engineer,84000,GBP,GB,0,GB,M,104038
2022,SE,FT,Data Scientist,104300,USD,US,0,US,L,104300
2022,SE,FT,Data Scientist,104890,USD,US,100,US,M,104890
2022,SE,FT,Data Operations Engineer,105000,USD,US,0,US,M,105000
2022,MI,FT,Data Analyst,105000,USD,US,0,US,M,105000
2022,EN,FT,Data Specialist,105000,USD,CL,100,US,L,105000
2022,SE,FT,Data Engineer,105000,USD,US,100,US,M,105000
2022,SE,FT,Data Engineer,105000,USD,US,0,US,M,105000
2022,SE,FT,Data Analyst,105000,USD,US,100,US,M,105000
2022,SE,FT,Data Engineer,105000,USD,US,100,US,M,105000
2020,MI,FT,Data Scientist,105000,USD,US,100,US,L,105000
2021,SE,CT,Staff Data Scientist,105000,USD,US,100,US,M,105000
2020,EN,FT,Data Scientist,105000,USD,US,100,US,S,105000
2022,SE,FT,Data Engineer,84958,GBP,GB,100,GB,M,105224
2022,MI,FT,Data Engineer,85000,GBP,GB,0,GB,M,105276
2022,SE,FT,Data Analytics Manager,105400,USD,US,100,US,M,105400
2022,SE,FT,Data Engineer,105700,USD,US,0,US,L,105700
2020,MI,FT,Data Engineer,106000,USD,US,100,US,L,106000
2022,MI,FT,Data Analyst,106260,USD,US,0,US,M,106260
2022,SE,FT,Data Analyst,106260,USD,US,100,US,M,106260
2022,SE,FT,Data Scientist,106800,USD,US,100,US,M,106800
2022,EN,FT,Machine Learning Engineer,108000,USD,US,0,US,S,108000
2022,MI,FT,Data Scientist,108000,USD,US,50,US,L,108000
2022,MI,FT,Analytics Engineer,108000,USD,US,100,US,M,108000
2022,SE,FT,Applied Machine Learning Scientist,108000,USD,US,0,US,L,108000
2022,SE,FT,Data Engineer,108800,USD,US,0,US,M,108800
2021,MI,FT,Data Scientist,109000,USD,US,50,US,L,109000
2020,SE,FT,Big Data Engineer,85000,GBP,GB,50,GB,M,109024
2022,SE,FT,Data Analyst,109280,USD,US,100,US,M,109280
2022,SE,FT,Data Analyst,109280,USD,US,100,US,M,109280
2022,SE,FT,Data Analytics Manager,109280,USD,US,100,US,M,109280
2022,SE,FT,Data Engineer,110000,USD,US,100,US,M,110000
2022,SE,FT,Data Engineer,110000,USD,US,0,US,M,110000
2022,SE,FT,Data Engineer,110000,USD,US,0,US,M,110000
2022,SE,FT,Analytics Engineer,110000,USD,US,100,US,M,110000
2022,SE,FT,Machine Learning Engineer,110000,USD,CA,0,CA,M,110000
2022,SE,FT,Analytics Engineer,110000,USD,US,100,US,M,110000
2022,SE,FT,Data Analyst,110000,USD,US,0,US,M,110000
2022,EN,PT,Data Scientist,110000,USD,DO,100,FR,M,110000
2022,EX,FT,Data Analyst,110000,USD,US,100,US,M,110000
2021,MI,FT,Data Analytics Engineer,110000,USD,US,100,US,L,110000
2021,MI,FT,Head of Data Science,110000,USD,US,0,US,S,110000
2021,MI,FT,Data Engineer,110000,USD,US,100,US,L,110000
2020,MI,FT,Data Engineer,110000,USD,US,100,US,L,110000
2021,EN,FT,Applied Data Scientist,80000,GBP,GB,0,GB,L,110037
2022,SE,FT,Data Engineer,110500,USD,US,100,US,M,110500
2022,SE,FT,Data Analyst,110600,USD,US,0,US,M,110600
2022,SE,FT,Data Analyst,110600,USD,US,0,US,M,110600
2022,SE,FT,Data Analyst,110600,USD,US,0,US,M,110600
2022,SE,FT,Data Analyst,110925,USD,US,100,US,M,110925
2022,SE,FT,Data Analyst,110925,USD,US,100,US,M,110925
2022,MI,FT,Data Engineer,90000,GBP,GB,0,GB,M,111469
2022,MI,FT,Data Scientist,90000,GBP,GB,0,GB,M,111469
2022,MI,FT,Data Engineer,90000,GBP,GB,0,GB,M,111469
2022,SE,FT,Data Scientist,90000,GBP,GB,0,GB,M,111469
2021,MI,FT,Data Engineer,111775,USD,US,0,US,M,111775
2022,MI,FT,Data Analyst,112000,USD,US,100,US,M,112000
2021,MI,FT,Data Engineer,112000,USD,US,100,US,L,112000
2022,MI,FT,Machine Learning Scientist,112300,USD,US,100,US,L,112300
2020,MI,FT,Data Engineer,88000,GBP,GB,50,GB,L,112872
2022,SE,FT,Data Analyst,112900,USD,US,0,US,M,112900
2022,SE,FT,Data Analyst,112900,USD,US,100,US,M,112900
2022,SE,FT,Data Analyst,112900,USD,US,100,US,M,112900
2022,SE,FT,Data Analyst,112900,USD,US,100,US,M,112900
2022,SE,FT,Data Analyst,112900,USD,US,100,US,M,112900
2022,SE,FT,Data Analyst,113000,USD,US,100,US,M,113000
2022,MI,FT,Data Analyst,113000,USD,US,0,US,L,113000
2022,MI,FT,Data Analytics Consultant,113000,USD,US,100,US,L,113000
2022,SE,FT,Data Engineer,113000,USD,US,0,US,L,113000
2021,SE,FT,Director of Data Engineering,82500,GBP,GB,100,GB,M,113476
2022,SE,FT,Data Architect,113900,USD,US,100,US,M,113900
2020,SE,FT,Big Data Engineer,100000,EUR,PL,100,GB,S,114047
2022,SE,FT,Data Engineer,115000,USD,US,0,US,M,115000
2022,SE,FT,Data Analyst,115000,USD,US,100,US,M,115000
2022,SE,FT,Data Engineer,115000,USD,US,0,US,M,115000
2022,SE,FT,Data Analyst,115000,USD,US,0,US,L,115000
2022,SE,FT,Data Engineer,115000,USD,US,100,US,M,115000
2022,EN,FT,Machine Learning Engineer,115000,USD,US,50,US,L,115000
2022,SE,FT,Data Engineer,115000,USD,US,100,US,M,115000
2022,SE,FT,Data Engineer,115000,USD,US,100,US,M,115000
2021,SE,FT,Data Engineer,115000,USD,US,100,US,S,115000
2020,MI,FT,Lead Data Scientist,115000,USD,AE,0,AE,L,115000
2021,MI,FT,Data Scientist,115000,USD,US,50,US,L,115000
2022,MI,FT,Data Scientist,115360,USD,US,100,US,M,115360
2022,MI,FT,Data Analyst,115500,USD,US,100,US,M,115500
2022,MI,FT,Data Scientist,110000,EUR,NL,0,NL,M,115816
2022,SE,FT,Data Analyst,115934,USD,US,100,US,M,115934
2022,SE,FT,Data Analyst,115934,USD,US,0,US,M,115934
2022,SE,FT,Data Analyst,115934,USD,US,100,US,M,115934
2022,SE,FT,Data Analyst,116000,USD,US,0,US,M,116000
2022,EX,FT,Lead Data Engineer,150000,CAD,CA,100,CA,S,116073
2022,SE,FT,Machine Learning Engineer,116100,USD,CA,100,CA,M,116100
2022,EX,FT,Data Engineer,116100,USD,US,100,US,M,116100
2022,SE,FT,Data Analyst,116150,USD,US,100,US,M,116150
2021,MI,FT,Data Scientist,85000,GBP,GB,50,GB,L,116914
2022,SE,FT,Data Engineer,117000,USD,US,0,US,M,117000
2022,SE,FT,Data Analyst,117000,USD,US,100,US,M,117000
2022,SE,FT,Data Analyst,117000,USD,US,100,US,M,117000
2020,SE,FT,Machine Learning Manager,157000,CAD,CA,50,CA,L,117104
2022,MI,FT,Machine Learning Engineer,95000,GBP,GB,0,GB,M,117662
2020,MI,FT,Data Scientist,118000,USD,US,100,US,M,118000
2022,MI,FT,Data Scientist,96000,GBP,GB,0,GB,M,118900
2022,SE,FT,Data Analyst,119000,USD,US,0,US,M,119000
2021,MI,FT,Data Scientist,160000,SGD,SG,100,IL,M,119059
2022,SE,FT,Data Scientist,119300,USD,US,0,US,L,119300
2022,SE,FT,Data Scientist,119300,USD,US,0,US,L,119300
2022,MI,FT,Data Scientist,120000,USD,US,100,US,M,120000
2022,SE,FT,Data Analyst,120000,USD,US,0,US,M,120000
2022,SE,FT,Data Scientist,120000,USD,US,100,US,S,120000
2022,SE,FT,Analytics Engineer,120000,USD,US,0,US,M,120000
2022,SE,FT,Data Scientist,120000,USD,US,100,US,M,120000
2022,MI,FT,AI Scientist,120000,USD,US,0,US,M,120000
2022,SE,FT,Data Scientist,120000,USD,US,0,US,L,120000
2022,SE,FT,Machine Learning Engineer,120000,USD,US,100,US,M,120000
2022,MI,FT,Data Scientist,120000,USD,US,100,US,M,120000
2022,SE,FT,Machine Learning Engineer,120000,USD,AE,100,AE,S,120000
2022,MI,FT,Machine Learning Engineer,120000,USD,US,100,US,S,120000
2022,EN,FT,Research Scientist,120000,USD,US,100,US,L,120000
2022,EN,FT,Data Engineer,120000,USD,US,100,US,M,120000
2021,SE,FT,Machine Learning Scientist,120000,USD,US,50,US,S,120000
2021,SE,FT,Data Analytics Manager,120000,USD,US,100,US,M,120000
2021,SE,FT,Data Analytics Manager,120000,USD,US,0,US,L,120000
2020,SE,FT,Data Scientist,120000,USD,US,50,US,L,120000
2022,SE,FT,Data Scientist,120160,USD,US,100,US,M,120160
2022,MI,FT,Data Scientist,115000,CHF,CH,0,CH,L,120221
2022,SE,FT,Data Analyst,120600,USD,US,100,US,M,120600
2022,SE,FT,Data Science Consultant,122000,USD,US,0,US,M,122000
2022,SE,FT,Data Scientist,122500,USD,US,0,US,M,122500
2022,SE,FT,Analytics Engineer,122500,USD,US,100,US,M,122500
2022,SE,FT,Data Operations Analyst,123000,USD,US,0,US,M,123000
2022,SE,FT,Data Scientist,123000,USD,US,100,US,M,123000
2022,SE,FT,Data Scientist,123000,USD,US,100,US,M,123000
2022,SE,FT,Data Scientist,123000,USD,US,100,US,M,123000
2022,SE,FT,Data Scientist,123400,USD,US,0,US,M,123400
2022,SE,FT,Data Scientist,123400,USD,US,0,US,M,123400
2022,SE,FT,Data Analyst,124190,USD,US,100,US,M,124190
2022,SE,FT,ETL Developer,124270,USD,US,100,US,M,124270
2022,EN,FT,Computer Vision Engineer,125000,USD,US,0,US,M,125000
2021,EN,FT,Machine Learning Engineer,125000,USD,US,100,US,S,125000
2020,SE,FT,Lead Data Engineer,125000,USD,NZ,50,NZ,S,125000
2022,EN,PT,Data Analyst,125404,USD,CN,50,US,S,125404
2022,SE,FT,Data Engineer,126000,USD,US,100,US,M,126000
2022,SE,FT,Data Engineer,126000,USD,US,100,US,M,126000
2022,MI,FT,Research Scientist,120000,EUR,DE,0,DE,S,126344
2022,MI,FT,Data Analyst,126500,USD,US,0,US,M,126500
2022,SE,FT,Data Analyst,126500,USD,US,100,US,M,126500
2022,EX,FT,Data Manager,164000,CAD,CA,50,CA,L,126906
2022,SE,FT,Data Analyst,127000,USD,US,0,US,M,127000
2021,SE,FT,Data Science Engineer,159500,CAD,CA,50,CA,L,127221
2022,SE,FT,Data Architect,128000,USD,US,0,US,M,128000
2022,SE,FT,Data Scientist,128000,USD,US,100,US,M,128000
2022,MI,FT,Machine Learning Engineer,104000,GBP,GB,50,GB,L,128809
2022,SE,FT,Data Analyst,128875,USD,US,100,US,M,128875
2022,SE,FT,Data Analyst,128875,USD,US,100,US,M,128875
2022,SE,FT,Data Engineer,128875,USD,US,100,US,M,128875
2022,EN,FT,Data Engineer,129000,USD,US,100,US,L,129000
2022,SE,FT,Data Analyst,129000,USD,US,0,US,M,129000
2022,SE,FT,Data Scientist,129300,USD,US,0,US,M,129300
2022,SE,FT,Data Engineer,129300,USD,US,0,US,M,129300
2022,SE,FT,Data Scientist,129300,USD,US,0,US,M,129300
2022,SE,FT,Data Scientist,129300,USD,US,0,US,M,129300
2022,SE,FT,Data Engineer,129300,USD,US,0,US,M,129300
2022,SE,FT,Data Scientist,129300,USD,US,0,US,M,129300
2022,SE,FT,Data Scientist,129300,USD,US,0,US,M,129300
2022,SE,FT,Data Engineer,129300,USD,US,0,US,M,129300
2022,SE,FT,Data Engineer,129300,USD,US,0,US,M,129300
2022,SE,FT,Machine Learning Scientist,129300,USD,US,0,US,M,129300
2022,SE,FT,Machine Learning Engineer,129300,USD,US,0,US,M,129300
2022,MI,FT,Machine Learning Engineer,129300,USD,US,0,US,M,129300
2022,MI,FT,Machine Learning Engineer,130000,USD,US,0,US,M,130000
2022,SE,FT,Data Engineer,130000,USD,US,0,US,M,130000
2022,SE,FT,Data Analyst,130000,USD,US,0,US,M,130000
2022,SE,FT,Data Engineer,130000,USD,US,0,US,M,130000
2022,SE,FT,Data Engineer,130000,USD,US,0,US,M,130000
2022,SE,FT,Data Scientist,130000,USD,US,100,US,M,130000
2022,SE,FT,Data Engineer,130000,USD,US,0,US,M,130000
2022,SE,FT,Analytics Engineer,130000,USD,US,100,US,M,130000
2022,SE,FT,Analytics Engineer,130000,USD,US,100,US,M,130000
2022,SE,FT,ML Engineer,130000,USD,US,100,US,M,130000
2022,SE,FT,Data Engineer,130000,USD,US,0,US,M,130000
2022,SE,FT,Data Scientist,130000,USD,US,100,US,M,130000
2022,SE,FT,Data Analyst,130000,USD,US,100,US,M,130000
2022,MI,FT,Data Analyst,130000,USD,US,100,US,M,130000
2022,EN,FT,Analytics Engineer,130000,USD,US,50,US,L,130000
2022,SE,FT,Data Engineer,130000,USD,US,100,US,M,130000
2022,MI,FT,Data Scientist,130000,USD,US,0,US,M,130000
2022,EX,FT,Data Analyst,130000,USD,US,100,US,M,130000
2022,SE,FT,Data Analyst,130000,USD,CA,100,CA,M,130000
2022,SE,FT,Data Analyst,130000,USD,CA,100,CA,M,130000
2022,SE,FT,Data Engineer,130000,USD,US,100,US,M,130000
2022,SE,FT,Data Engineer,130000,USD,US,100,US,M,130000
2022,MI,FT,Data Scientist,130000,USD,US,100,US,M,130000
2021,MI,FT,Data Scientist,130000,USD,US,50,US,L,130000
2021,EX,FT,Director of Data Science,110000,EUR,DE,50,DE,M,130026
2022,SE,FT,Data Analyst,130050,USD,US,100,US,M,130050
2022,SE,FT,Data Scientist,130240,USD,US,0,US,M,130240
2022,SE,FT,Data Engineer,130500,USD,US,0,US,M,130500
2022,SE,FT,Data Engineer,130500,USD,US,0,US,M,130500
2020,MI,FT,Data Engineer,130800,USD,ES,100,US,M,130800
2022,SE,FT,ML Engineer,131300,USD,US,100,US,L,131300
2022,SE,FT,Data Architect,131300,USD,US,100,US,L,131300
2022,SE,FT,Machine Learning Engineer,131300,USD,US,100,US,L,131300
2022,SE,FT,Data Architect,131300,USD,US,100,US,L,131300
2022,SE,FT,Data Engineer,131300,USD,US,100,US,L,131300
2022,SE,FT,Machine Learning Engineer,131300,USD,US,100,US,L,131300
2022,SE,FT,Machine Learning Engineer,131300,USD,US,100,US,L,131300
2022,SE,FT,Data Engineer,132000,USD,US,100,US,M,132000
2022,SE,FT,Data Analyst,132000,USD,US,0,US,M,132000
2022,SE,FT,Data Engineer,132100,USD,US,100,US,L,132100
2022,SE,FT,Data Engineer,132100,USD,US,100,US,L,132100
2022,SE,FT,Data Engineer,132320,USD,US,100,US,M,132320
2022,SE,FT,Data Engineer,132320,USD,US,0,US,M,132320
2022,SE,FT,Data Engineer,132320,USD,US,100,US,M,132320
2022,MI,FT,Data Scientist,107000,GBP,GB,100,GB,M,132524
2022,MI,FT,Data Manager,134000,USD,US,0,US,M,134000
2022,MI,FT,Data Manager,134000,USD,US,0,US,M,134000
2022,MI,FT,Data Science Manager,134000,USD,US,100,US,M,134000
2022,SE,FT,Data Science Manager,193000,AUD,AU,100,AU,L,134768
2022,SE,FT,Data Engineer,135000,USD,US,0,US,M,135000
2022,SE,FT,Data Analyst,135000,USD,US,100,US,M,135000
2022,MI,FT,Data Analytics Engineer,135000,USD,US,100,US,L,135000
2022,SE,FT,Data Architect,135000,USD,US,100,US,M,135000
2022,SE,FT,Machine Learning Engineer,135000,USD,PR,100,PR,M,135000
2022,SE,FT,Data Architect,135000,USD,US,100,US,M,135000
2022,SE,FT,Data Engineer,135000,USD,US,100,US,M,135000
2022,SE,FT,Data Architect,135000,USD,US,100,US,M,135000
2022,SE,FT,Data Engineer,135000,USD,US,0,US,M,135000
2022,SE,FT,Data Engineer,135000,USD,US,100,US,M,135000
2022,SE,FT,Machine Learning Engineer,135000,USD,US,100,US,M,135000
2022,SE,FT,Analytics Engineer,135000,USD,US,100,US,M,135000
2022,SE,FT,Data Engineer,135000,USD,PR,100,PR,M,135000
2022,SE,FT,Data Engineer,135000,USD,US,100,US,M,135000
2022,SE,FT,Data Analyst,135000,USD,US,100,US,M,135000
2022,EX,FT,Analytics Engineer,135000,USD,US,100,US,M,135000
2022,SE,FT,Data Analyst,135000,USD,US,100,US,M,135000
2022,MI,FT,Data Analyst,135000,USD,US,100,US,M,135000
2022,SE,FT,Data Engineer,135000,USD,US,100,US,M,135000
2022,MI,FT,Data Scientist,135000,USD,US,100,US,L,135000
2021,MI,FT,Data Analyst,135000,USD,US,100,US,L,135000
2021,SE,FT,Data Scientist,135000,USD,US,0,US,L,135000
2020,MI,FT,Business Data Analyst,135000,USD,US,100,US,L,135000
2022,SE,FT,Data Scientist,136000,USD,US,100,US,M,136000
2022,MI,FT,Data Analyst,136000,USD,US,100,US,M,136000
2022,SE,FT,Data Engineer,136000,USD,US,0,US,M,136000
2022,SE,FT,Data Scientist,136100,USD,US,0,US,M,136100
